,result,table,_start,_stop,_time,_measurement,host,stanza,percepita,temperatura,umidita
32,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:51:43.911797+00:00,ambiente,raspberry_pi_4,camera,35.6,35.0,34.0
33,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:51:49.181476+00:00,ambiente,raspberry_pi_4,camera,35.6,35.0,34.0
34,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:51:54.442043+00:00,ambiente,raspberry_pi_4,camera,35.9,35.2,34.0
35,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:51:59.713588+00:00,ambiente,raspberry_pi_4,camera,35.9,35.2,34.0
36,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:52:04.974615+00:00,ambiente,raspberry_pi_4,camera,35.9,35.2,34.0
37,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:52:10.244245+00:00,ambiente,raspberry_pi_4,camera,35.9,35.2,34.0
38,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:52:15.504623+00:00,ambiente,raspberry_pi_4,camera,35.9,35.2,34.0
39,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:52:20.774729+00:00,ambiente,raspberry_pi_4,camera,35.9,35.2,34.0
40,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:52:26.034743+00:00,ambiente,raspberry_pi_4,camera,35.9,35.2,34.0
41,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:52:31.306297+00:00,ambiente,raspberry_pi_4,camera,35.9,35.2,34.0
42,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:52:36.566757+00:00,ambiente,raspberry_pi_4,camera,35.9,35.2,34.0
43,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:52:41.836502+00:00,ambiente,raspberry_pi_4,camera,35.9,35.2,34.0
44,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:52:47.096768+00:00,ambiente,raspberry_pi_4,camera,35.9,35.2,34.0
45,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:52:57.620561+00:00,ambiente,raspberry_pi_4,camera,35.9,35.2,34.0
46,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:53:02.891422+00:00,ambiente,raspberry_pi_4,camera,35.7,35.2,33.0
47,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:53:08.151472+00:00,ambiente,raspberry_pi_4,camera,35.7,35.2,33.0
48,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:53:13.421131+00:00,ambiente,raspberry_pi_4,camera,35.3,35.0,33.0
49,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:53:18.681058+00:00,ambiente,raspberry_pi_4,camera,35.1,34.7,34.0
50,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:53:23.950610+00:00,ambiente,raspberry_pi_4,camera,35.3,34.7,35.0
51,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:53:29.210595+00:00,ambiente,raspberry_pi_4,camera,35.3,34.7,35.0
52,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:53:34.488578+00:00,ambiente,raspberry_pi_4,camera,35.1,34.7,34.0
53,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:53:39.748519+00:00,ambiente,raspberry_pi_4,camera,35.1,34.7,34.0
54,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:53:45.021492+00:00,ambiente,raspberry_pi_4,camera,35.3,34.7,35.0
55,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:53:50.281430+00:00,ambiente,raspberry_pi_4,camera,35.3,34.7,35.0
56,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:53:55.551004+00:00,ambiente,raspberry_pi_4,camera,35.3,34.7,35.0
57,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:54:00.812484+00:00,ambiente,raspberry_pi_4,camera,35.3,34.7,35.0
