,result,table,_start,_stop,_time,_value,_field,_measurement,host,stanza
0,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:30:39.657029+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
1,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:30:50.235020+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
2,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:30:55.508314+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
3,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:31:00.782786+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
4,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:31:06.044304+00:00,34.3,percepita,ambiente,raspberry_pi_4,camera
5,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:31:11.315236+00:00,34.3,percepita,ambiente,raspberry_pi_4,camera
6,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:31:16.575635+00:00,34.3,percepita,ambiente,raspberry_pi_4,camera
7,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:31:21.846898+00:00,34.3,percepita,ambiente,raspberry_pi_4,camera
8,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:31:27.110251+00:00,34.3,percepita,ambiente,raspberry_pi_4,camera
9,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:31:32.381444+00:00,34.3,percepita,ambiente,raspberry_pi_4,camera
10,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:31:37.641698+00:00,34.3,percepita,ambiente,raspberry_pi_4,camera
11,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:31:42.911472+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
12,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:31:48.171764+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
13,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:31:53.722368+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
14,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:31:58.982486+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
15,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:32:04.253914+00:00,34.3,percepita,ambiente,raspberry_pi_4,camera
16,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:32:09.514426+00:00,34.3,percepita,ambiente,raspberry_pi_4,camera
17,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:32:14.784644+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
18,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:32:20.045184+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
19,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:32:25.315318+00:00,34.3,percepita,ambiente,raspberry_pi_4,camera
20,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:32:41.095368+00:00,34.3,percepita,ambiente,raspberry_pi_4,camera
21,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:32:46.366087+00:00,34.3,percepita,ambiente,raspberry_pi_4,camera
22,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:32:51.626083+00:00,34.4,percepita,ambiente,raspberry_pi_4,camera
23,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:32:56.895828+00:00,34.3,percepita,ambiente,raspberry_pi_4,camera
24,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:33:02.158691+00:00,34.4,percepita,ambiente,raspberry_pi_4,camera
25,_result,0,2026-07-11 08:21:08.604380+00:00,2026-07-11 11:21:08.604380+00:00,2026-07-11 09:33:07.428937+00:00,34.6,percepita,ambiente,raspberry_pi_4,camera
