,result,table,_start,_stop,_time,_measurement,host,stanza,percepita,temperatura,umidita
32,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:02.062646+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
33,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:07.332565+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
34,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:12.592996+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
35,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:17.864521+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
36,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:23.124997+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
37,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:28.394722+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
38,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:33.654888+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
39,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:38.924705+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
40,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:44.184806+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
41,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:49.457095+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
42,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:54.717276+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
43,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:59.986680+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
44,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:46:05.246718+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
45,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:46:10.516682+00:00,ambiente,raspberry_pi_4,camera,37.9,34.7,44.0
46,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:46:15.776605+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
47,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:46:21.047492+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
48,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:46:26.307583+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
49,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:46:31.586412+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
50,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:46:36.851208+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
51,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:46:42.120692+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
52,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:46:47.380990+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
53,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:46:52.651968+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
54,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:46:57.912070+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
55,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:47:03.181793+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
56,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:47:08.441681+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
57,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:47:13.711635+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
58,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:47:18.971585+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
59,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:47:29.497200+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
60,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:47:34.766620+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
61,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:47:40.026568+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
62,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:47:50.551667+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
63,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:47:55.823143+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
64,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:48:01.083158+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
65,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:48:06.352682+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
66,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:48:11.612768+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
67,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:48:16.882713+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
68,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:48:22.144360+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
69,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:48:27.414166+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
70,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:48:32.674258+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
71,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:48:37.951210+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
72,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:48:43.211854+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
73,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:48:48.483021+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
74,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:48:53.743210+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
75,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:48:59.012814+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
76,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:49:04.273052+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
77,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:49:09.542340+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
78,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:49:14.802544+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
79,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:49:20.073673+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
80,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:49:25.333720+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
81,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:49:30.603555+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
82,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:49:35.863543+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
83,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:49:41.134998+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
84,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:49:46.395352+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
85,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:49:51.667309+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
86,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:49:56.927587+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
87,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:50:02.197308+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
88,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:50:07.457813+00:00,ambiente,raspberry_pi_4,camera,37.9,34.7,44.0
89,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:50:12.727255+00:00,ambiente,raspberry_pi_4,camera,37.9,34.7,44.0
90,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:50:17.987555+00:00,ambiente,raspberry_pi_4,camera,37.9,34.7,44.0
