_time,percepita,temperatura,umidita
2026-07-11 10:13:00+00:00,35.13636363636363,33.8,40.18181818181818
2026-07-11 10:14:00+00:00,35.11818181818182,33.8,40.09090909090909
2026-07-11 10:15:00+00:00,35.1,33.8,40.0
2026-07-11 10:16:00+00:00,35.1,33.8,40.0
2026-07-11 10:17:00+00:00,35.1,33.8,40.0
2026-07-11 10:18:00+00:00,35.0,33.74444444444444,40.0
2026-07-11 10:19:00+00:00,34.72727272727273,33.57272727272727,40.0
2026-07-11 10:20:00+00:00,34.76363636363636,33.581818181818186,40.0
2026-07-11 10:21:00+00:00,35.04545454545455,33.72727272727273,40.36363636363637
2026-07-11 10:22:00+00:00,35.166666666666664,33.8,40.333333333333336
2026-07-11 10:23:00+00:00,35.1,33.8,40.0
2026-07-11 10:24:00+00:00,35.1,33.8,40.0
2026-07-11 10:25:00+00:00,35.1,33.8,40.0
2026-07-11 10:26:00+00:00,35.07272727272727,33.78181818181818,40.0
2026-07-11 10:27:00+00:00,34.449999999999996,33.40833333333333,40.0
2026-07-11 10:28:00+00:00,34.31818181818182,33.3,40.09090909090909
2026-07-11 10:29:00+00:00,34.24166666666667,33.13333333333333,41.083333333333336
2026-07-11 10:30:00+00:00,34.24545454545454,33.13636363636363,41.09090909090909
2026-07-11 10:31:00+00:00,34.3,33.190909090909095,41.0
2026-07-11 10:32:00+00:00,34.483333333333334,33.291666666666664,41.0
2026-07-11 10:33:00+00:00,34.5,33.3,41.0
2026-07-11 10:34:00+00:00,34.480000000000004,33.29,41.0
2026-07-11 10:35:00+00:00,33.945454545454545,32.85454545454545,41.81818181818182
2026-07-11 10:36:00+00:00,33.9,32.8,42.0
2026-07-11 10:37:00+00:00,33.9,32.8,42.0
2026-07-11 10:38:00+00:00,34.25,33.11,41.3
2026-07-11 10:39:00+00:00,34.5,33.3,41.0
2026-07-11 10:40:00+00:00,34.59090909090909,33.35454545454545,41.0
2026-07-11 10:41:00+00:00,35.15,33.69,41.0
2026-07-11 10:42:00+00:00,34.67272727272727,33.554545454545455,40.0
2026-07-11 10:43:00+00:00,34.455555555555556,33.3,40.77777777777778
2026-07-11 10:44:00+00:00,34.5,33.3,41.0
2026-07-11 10:45:00+00:00,34.5,33.3,41.0
2026-07-11 10:46:00+00:00,34.36,33.230000000000004,41.0
2026-07-11 10:47:00+00:00,34.483333333333334,33.291666666666664,41.0
2026-07-11 10:48:00+00:00,34.5,33.3,41.0
2026-07-11 10:49:00+00:00,34.5,33.3,41.0
