,result,table,_start,_stop,_time,_value,_field,_measurement,host,stanza
0,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:20:04.769595+00:00,33.2,percepita,ambiente,raspberry_pi_4,camera
1,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:20:10.047365+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
2,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:21:47.907197+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
3,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:21:53.248623+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
4,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:21:58.547468+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
5,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:22:03.809438+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
6,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:22:09.082304+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
7,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:22:14.344608+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
8,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:22:19.614501+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
9,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:22:24.874780+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
10,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:22:30.145787+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
11,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:22:35.590533+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
12,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:22:40.862200+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
13,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:22:46.122404+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
14,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:22:51.391972+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
15,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:22:56.652444+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
16,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:23:01.921781+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
17,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:23:07.183274+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
18,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:23:12.453257+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
19,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:23:17.713400+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
20,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:23:22.983593+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
21,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:23:28.243766+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
22,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:23:33.513167+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
23,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:23:38.776131+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
24,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:23:44.046063+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
25,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:23:49.306083+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
26,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:23:54.576017+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
27,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:23:59.835979+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
28,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:24:05.105361+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
29,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:24:10.367139+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
30,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:24:15.636921+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
31,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:24:20.897172+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
32,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:24:26.167040+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
33,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:24:31.427111+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
34,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:24:36.698130+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
35,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:24:41.958513+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
36,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:24:47.227687+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
37,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:24:52.487995+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
38,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:24:57.757857+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
39,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:25:03.017857+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
40,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:25:08.288842+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
41,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:25:13.549634+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
42,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:25:18.819314+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
43,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:25:24.079520+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
44,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:25:29.350195+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
45,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:25:34.610324+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
46,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:25:39.881095+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
47,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:25:45.141096+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
48,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:25:50.410780+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
49,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:25:55.670934+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
50,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:26:00.940346+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
51,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:26:06.200924+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
52,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:26:11.473243+00:00,34.0,percepita,ambiente,raspberry_pi_4,camera
53,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:26:16.733192+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
54,_result,0,2026-07-10 14:59:18.055471+00:00,2026-07-10 16:59:18.055471+00:00,2026-07-10 16:26:22.002843+00:00,33.8,percepita,ambiente,raspberry_pi_4,camera
