,result,table,_start,_stop,_time,_measurement,host,stanza,percepita,temperatura,umidita
0,_result,0,2026-07-25 09:33:36.488961+00:00,2026-07-25 12:33:36.488961+00:00,2026-07-25 09:58:26.900228+00:00,ambiente,raspberry_pi_4,camera,27.6,28.9,26.0
1,_result,0,2026-07-25 09:33:36.488961+00:00,2026-07-25 12:33:36.488961+00:00,2026-07-25 09:58:32.213378+00:00,ambiente,raspberry_pi_4,camera,27.6,28.9,26.0
2,_result,0,2026-07-25 09:33:36.488961+00:00,2026-07-25 12:33:36.488961+00:00,2026-07-25 09:58:37.486330+00:00,ambiente,raspberry_pi_4,camera,27.6,28.9,26.0
3,_result,0,2026-07-25 09:33:36.488961+00:00,2026-07-25 12:33:36.488961+00:00,2026-07-25 09:58:42.756831+00:00,ambiente,raspberry_pi_4,camera,27.6,28.9,26.0
4,_result,0,2026-07-25 09:33:36.488961+00:00,2026-07-25 12:33:36.488961+00:00,2026-07-25 09:58:48.038372+00:00,ambiente,raspberry_pi_4,camera,27.6,28.9,26.0
5,_result,0,2026-07-25 09:33:36.488961+00:00,2026-07-25 12:33:36.488961+00:00,2026-07-25 09:58:53.301431+00:00,ambiente,raspberry_pi_4,camera,27.6,28.9,26.0
6,_result,0,2026-07-25 09:33:36.488961+00:00,2026-07-25 12:33:36.488961+00:00,2026-07-25 09:58:58.571294+00:00,ambiente,raspberry_pi_4,camera,27.6,28.9,26.0
7,_result,0,2026-07-25 09:33:36.488961+00:00,2026-07-25 12:33:36.488961+00:00,2026-07-25 09:59:03.863912+00:00,ambiente,raspberry_pi_4,camera,27.6,28.9,26.0
8,_result,0,2026-07-25 09:33:36.488961+00:00,2026-07-25 12:33:36.488961+00:00,2026-07-25 09:59:09.175841+00:00,ambiente,raspberry_pi_4,camera,27.6,28.9,26.0
9,_result,0,2026-07-25 09:33:36.488961+00:00,2026-07-25 12:33:36.488961+00:00,2026-07-25 09:59:14.443235+00:00,ambiente,raspberry_pi_4,camera,27.6,28.9,26.0
10,_result,0,2026-07-25 09:33:36.488961+00:00,2026-07-25 12:33:36.488961+00:00,2026-07-25 09:59:19.721541+00:00,ambiente,raspberry_pi_4,camera,27.6,28.9,26.0
11,_result,0,2026-07-25 09:33:36.488961+00:00,2026-07-25 12:33:36.488961+00:00,2026-07-25 09:59:24.981443+00:00,ambiente,raspberry_pi_4,camera,27.6,28.9,26.0
12,_result,0,2026-07-25 09:33:36.488961+00:00,2026-07-25 12:33:36.488961+00:00,2026-07-25 09:59:30.251827+00:00,ambiente,raspberry_pi_4,camera,27.6,28.9,26.0
13,_result,0,2026-07-25 09:33:36.488961+00:00,2026-07-25 12:33:36.488961+00:00,2026-07-25 09:59:35.512173+00:00,ambiente,raspberry_pi_4,camera,27.6,28.9,26.0
14,_result,0,2026-07-25 09:33:36.488961+00:00,2026-07-25 12:33:36.488961+00:00,2026-07-25 09:59:40.784920+00:00,ambiente,raspberry_pi_4,camera,27.6,28.9,26.0
15,_result,0,2026-07-25 09:33:36.488961+00:00,2026-07-25 12:33:36.488961+00:00,2026-07-25 09:59:46.461569+00:00,ambiente,raspberry_pi_4,camera,27.6,28.9,26.0
